,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Semey,0,KZ,1538260817,83,50.41,80.25,37.45,3.15
1,Kavieng,8,PG,1538260818,100,-2.57,150.8,85.42,5.61
2,Hilo,20,US,1538258760,67,19.71,-155.08,86.0,11.41
3,Misrikh,0,IN,1538260818,78,27.43,80.53,71.2,5.61
4,Hasaki,75,JP,1538259960,100,35.73,140.83,66.2,12.75
5,Lagoa,0,PT,1538258400,78,37.14,-8.45,71.6,6.93
6,Te Anau,56,NZ,1538260819,100,-45.41,167.72,44.74,3.49
7,Berlevag,92,NO,1538260820,100,70.86,29.09,35.2,14.45
8,Punta Arenas,75,CL,1538258400,86,-53.16,-70.91,37.4,4.7
9,Kapaa,90,US,1538258160,87,22.08,-159.32,82.94,18.34
10,Mataura,68,NZ,1538260820,100,-46.19,168.86,50.68,4.38
11,Hobart,20,AU,1538258400,50,-42.88,147.33,55.4,17.22
12,Bluff,0,AU,1538260821,44,-23.58,149.07,78.85,9.98
13,Khatanga,8,RU,1538260822,88,71.98,102.47,41.77,13.0
14,Bredasdorp,12,ZA,1538258400,77,-34.53,20.04,60.8,9.17
15,Vao,92,EE,1538260822,100,59.1,26.19,43.39,15.79
16,Yar-Sale,76,RU,1538260540,100,66.83,70.83,43.21,17.02
17,Arraial do Cabo,75,BR,1538258400,88,-22.97,-42.02,73.4,6.93
18,Camacha,40,PT,1538258400,78,33.08,-16.33,71.6,10.29
19,Vaini,20,IN,1538260824,94,15.34,74.49,68.32,2.37
20,Lavrentiya,92,RU,1538260824,88,65.58,-170.99,46.72,22.84
21,Sioux Lookout,90,CA,1538258400,64,50.1,-91.92,39.2,8.05
22,Velasco Ibarra,88,EC,1538260825,76,-1.04,-79.64,79.66,4.16
23,La Llanada,40,CO,1538258400,77,1.47,-77.58,68.0,9.17
24,Rikitea,24,PF,1538260825,100,-23.12,-134.97,73.09,12.21
25,Bambous Virieux,40,MU,1538258400,83,-20.34,57.76,69.8,12.75
26,Velizh,76,RU,1538260826,87,55.61,31.2,39.52,9.75
27,Nikolskoye,0,RU,1538258400,75,59.7,30.79,42.8,13.42
28,Constitucion,90,MX,1538257320,53,23.99,-104.67,71.6,6.93
29,Kahului,40,US,1538258520,70,20.89,-156.47,89.06,21.92
30,Dhidhdhoo,80,MV,1538260827,100,6.88,73.1,81.82,15.46
31,Rome,0,IT,1538258100,45,41.89,12.48,64.4,6.93
32,Necochea,0,AR,1538260828,94,-38.55,-58.74,51.67,9.19
33,East London,32,ZA,1538260828,100,-33.02,27.91,65.53,22.28
34,Richards Bay,80,ZA,1538260828,92,-28.77,32.06,62.47,2.59
35,Los Llanos de Aridane,44,ES,1538260200,83,28.66,-17.92,73.4,14.99
36,Vardo,1,US,1538259300,49,39.62,-77.74,75.2,5.82
37,Mar del Plata,48,AR,1538260829,55,-46.43,-67.52,46.0,18.81
38,Sao Filipe,88,CV,1538260830,100,14.9,-24.5,77.32,8.41
39,Avarua,75,CK,1538258400,69,-21.21,-159.78,75.2,5.82
40,Port Alfred,0,ZA,1538260830,89,-33.59,26.89,63.37,20.6
41,Pucallpa,40,PE,1538258400,331,-8.38,-74.54,35.6,8.05
42,Sao Felix do Xingu,36,BR,1538260831,92,-6.64,-51.99,77.23,2.15
43,Victoria,75,BN,1538258400,94,5.28,115.24,78.8,2.24
44,Kununurra,0,AU,1538258400,88,-15.77,128.74,71.6,8.97
45,Sao Joao da Barra,90,BR,1538258400,83,-21.64,-41.05,75.2,4.7
46,Flin Flon,75,CA,1538258400,47,54.77,-101.88,37.4,12.75
47,Narsaq,92,GL,1538257800,55,60.91,-46.05,37.4,8.05
48,Ushuaia,90,AR,1538258400,80,-54.81,-68.31,33.8,23.04
49,Tiznit,8,MA,1538260834,88,29.7,-9.73,69.4,3.49
50,Barrow,0,AR,1538260834,90,-38.31,-60.23,50.77,9.08
51,Touros,92,BR,1538260834,90,-5.2,-35.46,77.59,14.0
52,Kaniama,36,CD,1538260835,93,-7.57,24.18,68.32,2.37
53,Butaritari,12,KI,1538260835,100,3.07,172.79,85.24,6.51
54,Jamestown,20,AU,1538260836,36,-33.21,138.6,57.25,14.12
55,Hermanus,8,ZA,1538260836,78,-34.42,19.24,44.2,2.71
56,Ushtobe,0,KZ,1538260836,68,45.25,77.98,45.1,3.15
57,Uspenka,92,UA,1538260837,94,48.39,39.16,51.85,10.65
58,Saint-Philippe,90,CA,1538259300,58,45.36,-73.48,58.64,13.87
59,Grindavik,75,IS,1538258400,100,63.84,-22.43,37.4,12.75
60,Kavaratti,36,IN,1538260837,100,10.57,72.64,80.74,6.4
61,Xanlar,40,AZ,1538258400,68,40.56,46.33,64.4,6.93
62,Ribeira Grande,44,PT,1538260838,100,38.52,-28.7,70.84,19.6
63,Tuatapere,0,NZ,1538260838,95,-46.13,167.69,51.49,3.94
64,New Norfolk,20,AU,1538258400,50,-42.78,147.06,55.4,17.22
65,Nanortalik,92,GL,1538260839,95,60.14,-45.24,37.09,20.15
66,Puerto Ayora,0,EC,1538258400,69,-0.74,-90.35,78.8,19.46
67,Mareeba,20,AU,1538258400,64,-16.99,145.42,73.4,12.75
68,Busselton,0,AU,1538260841,100,-33.64,115.35,56.8,17.58
69,Kruisfontein,0,ZA,1538260841,81,-34.0,24.73,61.39,18.81
70,Lompoc,1,US,1538258160,53,34.64,-120.46,73.94,14.99
71,Ilulissat,48,GL,1538257800,96,69.22,-51.1,32.0,9.17
72,Namibe,32,AO,1538260842,98,-15.19,12.15,69.13,1.48
73,Albany,20,US,1538258040,42,42.65,-73.75,64.04,8.05
74,Atuona,92,PF,1538260842,100,-9.8,-139.03,78.04,9.75
75,Ostrovnoy,8,RU,1538260843,92,68.05,39.51,24.4,10.98
76,Zapolyarnyy,92,RU,1538259600,74,69.43,30.82,33.8,24.16
77,Lebu,40,ET,1538258400,66,8.96,38.73,53.6,2.24
78,Saldanha,44,PT,1538260844,76,41.42,-6.55,59.05,3.15
79,Ulladulla,0,AU,1538260844,93,-35.36,150.48,56.89,7.63
80,Meulaboh,92,ID,1538260844,100,4.14,96.13,75.7,2.48
81,Kodiak,90,US,1538257980,77,39.95,-94.76,62.96,3.36
